precio,superficie_total,superficie_util,dormitorios,banos,estacionamientos,tipo
4576.494471,170,110,4,2,2,Casa
7800,340,150,4,3,2,Casa
12912.25226,6000,420,5,4,3,Casa
13500,2639,272.9,6,5,3,Casa
4333,84,84,6,3,1,Casa
8200,338,108,3,2,2,Casa
14250,600,300,5,4,0,Casa
9700,800,150,3,2,5,Casa
12000,500,140,5,2,1,Casa
9316.435172,200,80,3,1,2,Casa
5200,300,140,6,2,2,Casa
8200,338,108,3,2,2,Casa
10000,316,272,3,2,0,Casa
10000,398,137,4,3,2,Casa
8990,330,160,4,4,2,Casa
5884.064319,310,120,4,2,2,Casa
7000,309,139,4,4,0,Casa
1166,80,74,2,1,1,Casa
12950,5000,355.5,5,3,3,Casa
1961.354773,165,35,2,1,2,Casa
1700,74,69,3,1,0,Casa
12585.35979,659,236,8,7,6,Casa
8150,260,110,4,3,3,Casa
7852,260,110,4,2,1,Casa
3422,300,170,1,1,1,Casa
10460.55879,10,10,1,1,0,Casa
20126,918,210,4,1,0,Casa
11441.23618,1254,1254,4,2,0,Casa
8172.311555,1053,1053,3,1,0,Casa
5000,300,300,3,1,1,Casa
1765.219296,127.5,87.3,3,2,1,Casa
5450,462,143,3,3,3,Casa
5230.279395,170,170,4,2,2,Casa
5800,254,109,3,2,2,Casa
2544,57.38,57.38,2,2,0,Casa
3920,75.79,75.79,3,3,0,Casa
2740,76,67,2,3,0,Casa
2363,72,49.37,2,1,0,Casa
1829,58,47.78,2,1,0,Casa
2621,45.52,45.52,2,1,0,Casa
6633,211.31,111.45,3,3,0,Casa
4670,219.62,75.64,3,2,0,Casa
2190,115.82,48.22,3,1,0,Casa
1980,130.2,50.78,3,1,0,Casa
2278,134.36,44.7,2,1,0,Casa
2780,148.09,51.59,3,1,0,Casa
2639,107,57,3,2,0,Casa
2700,132.79,53.63,3,1,0,Casa
6689,305.43,111.52,3,3,0,Casa
2780,136,63.3,3,3,0,Casa
4750,94,90,3,3,0,Casa
1819,63.1,47,2,1,0,Casa
10990,208.03,208.03,3,3,0,Casa
5890,325,100,3,3,0,Casa
11500,3200,160,4,2,4,Casa
6500,330,140,4,3,2,Casa
9000,548,168,4,3,1,Casa
4100,214,75,3,2,2,Casa
1372.948341,79,79,3,1,0,Casa
11500,830,190,3,3,4,Casa
5557.171857,5000,184,3,5,0,Casa
2755,163,66,3,2,1,Casa
6950,272,150,4,3,3,Casa
17490,2500,370,6,4,5,Casa
10500,570,200,4,2,2,Casa
10000,1002,260,5,3,2,Casa
12000,203,81,3,3,1,Casa
22000,800,180,5,4,5,Casa
2500,200,180,3,2,1,Casa
6000,243,114,4,3,3,Casa
4950,267,105,3,2,3,Casa
3690,160,86,3,2,2,Casa
